Time,Open,High,Low,Close,Volume,Date,Day,Month,Quarter,Year,Tomorrow,Target,Moving Average,MACD,Signal Line,RSI,Day_enc,Month_enc,Close_Ratio_2,Trend_2,Close_Ratio_5,Trend_5,Close_Ratio_60,Trend_60,Close_Ratio_250,Trend_250,Close_Ratio_1000,Trend_1000
2012-03-27 00:00,1.33566,1.33846,1.33121,1.33288,197916,2012-03-27,Tuesday,March,1,2012,1.33254,0,1.319092,0.0026926818505306205,0.0006800421161736989,52.40558457211742,3,7,0.998958231842131,1.0,1.004045167268043,2.0,1.0165716865779102,30.0,0.9681653113359542,126.0,0.9679066769141846,511.0
2012-03-28 00:00,1.33288,1.33727,1.32772,1.33254,213498,2012-03-28,Wednesday,March,1,2012,1.33138,0,1.319604,0.0031057629026678413,0.0011651862734725275,56.446524880431625,4,7,0.9998724403658711,0.0,1.0021569229103118,2.0,1.015802335246127,30.0,0.9682350542855117,126.0,0.9678234684880329,511.0
2012-03-29 00:00,1.33254,1.33449,1.32524,1.33138,206695,2012-03-29,Thursday,March,1,2012,1.33405,1,1.320576,0.003301472981662723,0.0015924436151105667,67.29346111852493,2,7,0.9995645514880327,0.0,0.9996396017599447,2.0,1.0142450214795802,30.0,0.9677259914724862,125.0,0.9671355797424926,511.0
2012-03-30 00:00,1.33139,1.33748,1.33095,1.33405,192893,2012-03-30,Friday,March,1,2012,1.33565,1,1.3215755000000002,0.003630174918406004,0.001999989875769654,74.24815549979377,0,7,1.0010017145451204,1.0,1.0005610131838099,2.0,1.0154772005748571,31.0,0.9699732265431383,126.0,0.9692306661749301,511.0
2012-04-02 00:00,1.33563,1.33803,1.32777,1.33296,196928,2012-04-02,Monday,April,2,2012,1.32225,0,1.3230365,0.003983452127986009,0.0027125192642852417,65.34429254382253,1,0,0.9995913026197877,2.0,1.000148563659528,2.0,1.0139304892900218,32.0,0.9694364814447778,127.0,0.9685941542099032,511.0
2012-04-03 00:00,1.33296,1.33671,1.32131,1.32225,215345,2012-04-03,Tuesday,April,2,2012,1.31435,0,1.323539,0.0030911261266635126,0.002788240636760896,54.975390541407876,3,0,0.9959664207350831,1.0,0.9936977505493612,2.0,1.005185253228509,32.0,0.9619668324749002,126.0,0.9609672089717074,511.0
2012-04-04 00:00,1.32225,1.32327,1.31073,1.31435,218402,2012-04-04,Wednesday,April,2,2012,1.30622,0,1.3234085,0.0017265843748963672,0.0025759093843879905,48.413547237076486,4,0,0.9970037169081394,0.0,0.9904687120854742,2.0,0.998645526616111,32.0,0.9566020366092658,125.0,0.955384652500612,511.0
2012-04-05 00:00,1.31435,1.31642,1.30353,1.30622,182647,2012-04-05,Thursday,April,2,2012,1.30964,1,1.3233255,-1.0724226914504698e-05,0.002058582662127492,48.6223528107328,2,0,0.9968976215098242,0.0,0.9880889523633741,2.0,0.9921644112737785,31.0,0.951099219988255,124.0,0.9496498930300697,510.0
2012-04-06 00:00,1.30622,1.31098,1.30503,1.30964,72808,2012-04-06,Friday,April,2,2012,1.30851,0,1.3237055000000002,-0.0010989207186249406,0.0014270819859770055,46.60292921074032,0,0,1.0013074094179353,1.0,0.9943481205450829,2.0,0.9942345117744789,32.0,0.9539961500408874,124.0,0.9523217474622684,510.0
2012-04-09 00:00,1.30851,1.31334,1.30337,1.31086,111383,2012-04-09,Monday,April,2,2012,1.30721,0,1.3234255000000001,-0.0025473122939376758,7.921153949330261e-05,41.92042676150241,1,0,1.0004655600076322,1.0,0.9986256955321393,1.0,0.9946035791848943,32.0,0.9552863379813935,123.0,0.9533848580758714,509.0
2012-04-10 00:00,1.31086,1.3144,1.30538,1.30721,234463,2012-04-10,Tuesday,April,2,2012,1.31182,1,1.3229060000000001,-0.0032154458598283586,-0.0005797199403710297,44.963967055593564,3,0,0.998605843235666,0.0,0.9981323339869401,1.0,0.9914253336611429,31.0,0.9530798139035491,122.0,0.9508951865540317,509.0
2012-04-11 00:00,1.30719,1.31562,1.3066,1.31182,212317,2012-04-11,Wednesday,April,2,2012,1.31884,1,1.322351,-0.0033345197834202533,-0.0011306799089808744,40.65679925994427,4,0,1.0017601936594847,1.0,1.0020394912729633,2.0,0.9946015999462194,31.0,0.9569067363514849,122.0,0.9544179956050735,509.0
2012-04-12 00:00,1.31183,1.32123,1.3102,1.31884,208563,2012-04-12,Thursday,April,2,2012,1.30755,0,1.3221029999999998,-0.002829811093545631,-0.0014705061458938258,44.724214436819466,2,0,1.0026685318513227,2.0,1.0054632477277128,3.0,0.9996369339030212,31.0,0.962491357691109,122.0,0.9596830237207556,510.0
2012-04-13 00:00,1.31883,1.32011,1.30692,1.30755,200247,2012-04-13,Friday,April,2,2012,1.30432,0,1.3213940000000002,-0.0033027622784751465,-0.00183695737241009,38.24230124415412,0,0,0.9957013238704078,1.0,0.9971737021603715,2.0,0.9908983561568052,31.0,0.9547335874538594,122.0,0.9516269786434032,510.0
2012-04-16 00:00,1.30433,1.31465,1.29958,1.31257,238131,2012-04-16,Monday,April,2,2012,1.31348,1,1.3198744999999998,-0.0036535437607225774,-0.0025292948432443394,42.71327246365456,1,0,1.0019159427812467,0.0,1.0007410807274792,2.0,0.9945748990512956,31.0,0.9588661702851409,121.0,0.9554430668591991,509.0
2012-04-17 00:00,1.31258,1.31692,1.30902,1.31348,208823,2012-04-17,Tuesday,April,2,2012,1.3117,0,1.319137,-0.00335144582547775,-0.002693725039691022,42.086915184407516,3,0,1.0003465280554444,1.0,1.0004783479021246,3.0,0.9951386339762248,31.0,0.9600083169341292,121.0,0.9562711685604122,509.0
2012-04-18 00:00,1.31348,1.31403,1.30572,1.3117,225054,2012-04-18,Wednesday,April,2,2012,1.3143,1,1.317939,-0.0032185605961494446,-0.0027986921509827066,42.547056467761365,4,0,0.9993219512566757,1.0,0.999140786150204,2.0,0.9937754869470845,30.0,0.9591868026426024,121.0,0.9551439511597187,508.0
2012-04-19 00:00,1.3117,1.31608,1.30699,1.3143,235257,2012-04-19,Thursday,April,2,2012,1.32159,1,1.31701,-0.0028703620763494975,-0.0028130261360560646,44.00181077410597,2,0,1.000990099009901,1.0,1.0018141350082321,2.0,0.9956780466740658,31.0,0.9614859300876315,122.0,0.9572012126966642,509.0
2012-04-20 00:00,1.31431,1.32263,1.31285,1.32159,210421,2012-04-20,Friday,April,2,2012,1.32069,0,1.3164624999999999,-0.0019833078277726734,-0.0026470824743993863,48.344312303815514,0,0,1.0027656692805846,2.0,1.005219330538332,3.0,1.001200626613709,31.0,0.9671299207205057,123.0,0.9626778497230005,509.0
2012-04-23 00:00,1.32071,1.32101,1.31045,1.31486,208718,2012-04-23,Monday,April,2,2012,1.31951,1,1.3149685,-0.0012813815180452437,-0.0021644115477960995,54.289940828402386,1,0,0.9974473250014223,1.0,0.999752126315213,3.0,0.9960888302815974,31.0,0.9625484989423431,122.0,0.9579410435466696,509.0
2012-04-24 00:00,1.31487,1.32173,1.31447,1.31951,211036,2012-04-24,Tuesday,April,2,2012,1.32306,1,1.3141615,-0.0008518591883677207,-0.001901901075910424,51.437932289770586,3,0,1.0017651279053437,1.0,1.0023685953728068,3.0,0.9994604444150441,32.0,0.9662933651160763,122.0,0.9614953014969921,509.0
2012-04-25 00:00,1.31951,1.32359,1.31736,1.32306,208111,2012-04-25,Wednesday,April,2,2012,1.31918,0,1.3136665,-0.0002224401643937668,-0.0015660088936070926,52.22063037249282,4,0,1.0013433892006645,2.0,1.003333677115626,4.0,1.002072851103751,32.0,0.9691701543001278,123.0,0.9642529805216612,509.0
2012-04-26 00:00,1.32306,1.32625,1.31765,1.31918,198896,2012-04-26,Thursday,April,2,2012,1.32535,1,1.313513,-3.6286340318492094e-05,-0.0012600643829493727,52.006420545746415,2,0,0.9985315489887368,1.0,0.9996514200842654,3.0,0.9990633008440136,32.0,0.9666217914440541,122.0,0.961605152683921,508.0
2012-04-27 00:00,1.31915,1.32698,1.3157,1.32535,216039,2012-04-27,Friday,April,2,2012,1.32392,0,1.314063,0.00060216792458756,-0.0008876179214419862,52.98742138364783,0,0,1.0023331177940882,1.0,1.003754945501033,3.0,1.0036129358931367,32.0,0.9713884738877645,123.0,0.9662814260915481,508.0
2012-04-30 00:00,1.32392,1.32663,1.32078,1.32387,190372,2012-04-30,Monday,April,2,2012,1.32379,0,1.3156595,0.0012634262297122056,-0.00015835902483752712,66.15201900237544,1,0,0.9994413449996603,1.0,1.0012675900813346,3.0,1.0023394001600823,32.0,0.9705616176974159,123.0,0.9653797806915746,507.0
2012-05-01 00:00,1.32387,1.32828,1.32039,1.32379,144281,2012-05-01,Tuesday,May,2,2012,1.31476,0,1.3164235,0.0014635719136690817,0.00016602716286379465,70.55098163394568,3,8,0.9999697846400217,0.0,1.000559313706965,2.0,1.0022909717038813,31.0,0.9707957384869192,122.0,0.9655009281730005,506.0
2012-05-02 00:00,1.32379,1.32407,1.31248,1.31476,205086,2012-05-02,Wednesday,May,2,2012,1.3154,1,1.3166185,0.0008833604476674584,0.00030949381982452737,59.35620799434022,4,8,0.9965776657633927,0.0,0.9949825562475878,1.0,0.9955790241544552,31.0,0.9644876973753398,122.0,0.9591058049026066,505.0
2012-05-03 00:00,1.31478,1.31791,1.3099,1.3154,192130,2012-05-03,Thursday,May,2,2012,1.30824,0,1.317028,0.0004697661600860936,0.00034154828787684064,59.095763616945455,2,8,1.0002433312041852,1.0,0.9960367520448511,2.0,0.9962162866291627,31.0,0.9652889887663667,122.0,0.9597497628697944,506.0
2012-05-04 00:00,1.3154,1.3178,1.30799,1.30824,176602,2012-05-04,Friday,May,2,2012,1.29607,0,1.316849,-0.00043079650009980597,0.0001870793302815113,53.93112410656268,0,8,0.9972709670534068,1.0,0.9931886438933141,1.0,0.9909358876812074,31.0,0.9603373847927671,122.0,0.9547081809334013,505.0
2012-05-07 00:00,1.29608,1.30652,1.29608,1.30589,209318,2012-05-07,Monday,May,2,2012,1.29925,0,1.3156275,-0.002604531640613139,-0.0007375407383199877,52.44297381019425,1,8,0.9991010393515241,0.0,0.9941185247439129,1.0,0.9892745075337529,30.0,0.9588810674675619,122.0,0.9531785185069103,505.0
2012-05-08 00:00,1.30587,1.30598,1.29823,1.29925,234133,2012-05-08,Tuesday,May,2,2012,1.2934,0,1.3153739999999998,-0.0034980371071937633,-0.0012896400120947428,49.13372323116838,3,8,0.997451192642238,0.0,0.992773024998701,1.0,0.9844128010158942,30.0,0.9543136401486392,121.0,0.9485167658049504,505.0
2012-05-09 00:00,1.29925,1.30037,1.29107,1.2934,265309,2012-05-09,Wednesday,May,2,2012,1.29328,0,1.3144155000000002,-0.004624879998592402,-0.0019566880093942747,49.12292271168563,4,8,0.9977436213912407,0.0,0.9915396385870981,1.0,0.9801299009336771,30.0,0.9503335440026034,121.0,0.9444386328763748,504.0
2012-05-10 00:00,1.29341,1.29785,1.2924,1.29328,232229,2012-05-10,Thursday,May,2,2012,1.29153,0,1.3134055,-0.005464601580188688,-0.0026582707235531574,52.0854842040057,2,8,0.999953608486554,0.0,0.9948215862622807,0.0,0.9802792774184745,29.0,0.9505836451866282,120.0,0.9445477273697311,503.0
2012-05-11 00:00,1.29328,1.29572,1.29045,1.29153,217289,2012-05-11,Friday,May,2,2012,1.28969,0,1.312397,-0.006199829581949645,-0.003366582495232455,55.871842643779985,0,8,0.999322967645591,0.0,0.9960359999074552,0.0,0.9792338750185916,28.0,0.9496885446882828,119.0,0.9434778163055347,502.0
2012-05-14 00:00,1.2897,1.29042,1.2815,1.28297,224034,2012-05-14,Monday,May,2,2012,1.27344,0,1.3092355000000002,-0.007820925295201064,-0.004815116290368831,54.290657439446164,1,8,0.996675082540299,0.0,0.9929447420682525,0.0,0.9732082082132703,27.0,0.9438114637564834,119.0,0.9374340154870644,502.0
2012-05-15 00:00,1.28297,1.28686,1.27216,1.27344,245123,2012-05-15,Tuesday,May,2,2012,1.27321,0,1.306873,-0.009251163032833798,-0.005702325638861825,50.73565076798686,3,8,0.9962721159751371,0.0,0.9895223027933273,0.0,0.966607030490355,26.0,0.9372667486897739,118.0,0.9306869736273199,501.0
2012-05-16 00:00,1.27344,1.27585,1.26811,1.27321,278794,2012-05-16,Wednesday,May,2,2012,1.26975,0,1.3047905,-0.010284640883881258,-0.006618788687865711,50.66193090087159,4,8,0.9999096852728094,0.0,0.992457630685813,0.0,0.9670721800690663,25.0,0.9375425985024649,118.0,0.9307292097163009,501.0
2012-05-17 00:00,1.2732,1.27489,1.26664,1.26975,263612,2012-05-17,Thursday,May,2,2012,1.27826,1,1.3023025000000001,-0.011253153264230376,-0.007545661603138645,49.316360207449115,2,8,0.9986393808789756,0.0,0.9934046847861803,0.0,0.9652706552526067,24.0,0.9354877068184841,117.0,0.9284138825875925,500.0
2012-05-18 00:00,1.26975,1.27936,1.26415,1.27826,257415,2012-05-18,Friday,May,2,2012,1.27712,0,1.3000625,-0.011204857798529755,-0.008277500842216868,55.63346486082963,0,8,1.0033398613035271,1.0,1.0021434294557696,1.0,0.972557592788205,24.0,0.9422717777004653,117.0,0.9348455247961951,501.0
2012-05-21 00:00,1.27713,1.28236,1.2725,1.2812,240981,2012-05-21,Monday,May,2,2012,1.26604,0,1.295752,-0.010619519644132103,-0.009202347500561892,62.42972192675867,1,8,1.0011486797996454,1.0,1.0047272054279737,1.0,0.9755308903521399,23.0,0.9449344257400727,116.0,0.9372080345882139,501.0
2012-05-22 00:00,1.2812,1.28142,1.26517,1.26604,263747,2012-05-22,Tuesday,May,2,2012,1.25606,0,1.292858,-0.01130768449050823,-0.00962341489855116,61.04301314909728,3,8,0.9940484602942794,0.0,0.9939922681464592,1.0,0.9649891257952399,22.0,0.9343096289889554,115.0,0.9263295733028369,501.0
2012-05-23 00:00,1.26605,1.26868,1.25448,1.25606,293895,2012-05-23,Wednesday,May,2,2012,1.25349,0,1.2894675,-0.012514107837492183,-0.010201553486339367,54.75500144969536,4,8,0.9960429800563022,0.0,0.9888196293363101,1.0,0.9583113773186058,22.0,0.9275007311841982,115.0,0.9192373449147411,501.0
2012-05-24 00:00,1.25612,1.26188,1.25154,1.25349,282983,2012-05-24,Thursday,May,2,2012,1.25151,0,1.2859525,-0.013521714643961236,-0.010865585717863741,56.41944880125457,2,8,0.9989759120160985,0.0,0.9893292081356896,1.0,0.9573139701747415,21.0,0.926150593361749,115.0,0.9175679107420294,500.0
2012-05-25 00:00,1.25348,1.26017,1.24984,1.25151,240005,2012-05-25,Friday,May,2,2012,1.25658,1,1.2827899999999999,-0.014315005279867732,-0.01155546963026454,58.09875403784006,0,8,0.9992095808383233,0.0,0.9919550433555793,0.0,0.9566361532450333,21.0,0.925188502601729,115.0,0.9163324502248382,499.0
2012-05-28 00:00,1.25659,1.2624,1.2516,1.25213,174790,2012-05-28,Monday,May,2,2012,1.24771,0,1.2770435,-0.014602452968787372,-0.01261502329706454,53.157837127845845,1,8,1.0002476394369797,1.0,0.9970410384712775,1.0,0.9579664453278163,22.0,0.9261653056507495,116.0,0.9170026579550499,500.0
2012-05-29 00:00,1.2521,1.25741,1.24606,1.24771,262110,2012-05-29,Tuesday,May,2,2012,1.23731,0,1.2746255,-0.014971579077116104,-0.013086334453074853,52.05530843024819,3,8,0.9982318868407579,1.0,0.9964302256864032,1.0,0.9553672906158013,22.0,0.9234301716685636,115.0,0.9139738947062459,500.0
2012-05-30 00:00,1.24773,1.24867,1.23606,1.23731,273555,2012-05-30,Wednesday,May,2,2012,1.23619,0,1.2711964999999998,-0.015919793787890768,-0.013653026320038036,50.55957524335015,4,8,0.9958149230187281,0.0,0.991092812572591,1.0,0.9483328941164567,21.0,0.9162263809811038,115.0,0.9065686725604608,500.0
2012-05-31 00:00,1.2373,1.24281,1.23363,1.23619,269578,2012-05-31,Thursday,May,2,2012,1.24328,1,1.2680434999999999,-0.016570619629233674,-0.014236544981877165,54.11292793671133,2,8,0.9995472003234285,0.0,0.9929476212278208,1.0,0.9485762927672965,20.0,0.9158960023312935,114.0,0.9059617507066092,499.0
2012-06-01 00:00,1.23617,1.24481,1.22913,1.24328,276913,2012-06-01,Friday,June,2,2012,1.23982,0,1.2655375000000002,-0.016326102899468786,-0.01465445656539549,53.08652567457427,0,6,1.002859482066732,1.0,0.9999646109943989,2.0,0.9548592066264439,21.0,0.9216607352659565,114.0,0.9113667002464724,500.0
2012-06-04 00:00,1.23982,1.25267,1.23856,1.25261,221456,2012-06-04,Monday,June,2,2012,1.2461,0,1.2609185,-0.014939697439195765,-0.014962709914389818,57.03115791128057,1,6,1.0037381455112204,1.0,1.0073909057277508,1.0,0.9628178685353385,21.0,0.9290828407141946,114.0,0.9184104148053381,499.0
